molecular_trait_id.x	cs_order.x	molecular_trait_id.y	cs_order.y	n	max_effect.ha	max_effect.m	haQTL_unique_gene	mQTL_unique_gene	shared_gene	cat
tad1181	2	tad1181	6	1	0.33744275555966274	-0.3169790231065765	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1181	5	tad1181	12	1	-0.13744851532824726	-0.14511052680235023	TRUE	FALSE	TRUE	Others, R^2 = -0.541
tad1182	1	tad1182	7	2	0.8285589270659218	-0.5384808889586573	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1182	2	tad1182	10	3	-0.4998077050926713	0.43875990258420067	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad1182	3	tad1182	2	2	0.06085314551534361	0.609948055944238	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1182	4	tad1182	9	10	0.2791509122974089	-0.4307607275769422	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1186	1	tad1186	1	9	-0.6073158663285454	0.7000083469961792	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1187	2	tad1187	4	3	0.21708848892514795	0.3333142909725167	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1202	1	tad1202	2	1	0.06312633777654555	0.14918424289666654	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad1202	2	tad1202	9	12	-0.14429694211751043	0.13322796472713405	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1204	1	tad1204	10	3	0.1764448945858479	-0.13353976708077142	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad1209	1	tad1209	1	1	-0.10344479096526152	0.6041036966658775	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1211	1	tad1211	5	12	-0.6841769976647244	0.2504363708699906	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1212	4	tad1212	6	12	0.10635107118367028	-0.5363859764562794	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1214	2	tad1214	4	14	-0.12110079323827302	-0.1911290402880411	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad1217	7	tad1217	1	1	-0.2431116170361246	0.6161980283713211	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1222	1	tad1222	11	1	0.2249457157574857	0.10057957679746315	TRUE	FALSE	TRUE	Others, R^2 = -0.541
tad1223	1	tad1223	2	1	0.23663452161739945	-0.4676786337526568	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1223	2	tad1223	4	2	0.23195370575000468	-0.37052624088504055	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad1249	2	tad1249	3	1	0.2199034831077736	-0.4315933647874554	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1258	2	tad1258	6	3	0.24019084829511556	-0.6138693539885849	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad1261	2	tad1261	16	2	0.22573278109675712	-0.2643163248073304	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1261	5	tad1261	6	23	-0.15743357162282576	0.3664375931863678	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad1264	1	tad1264	3	1	-0.5287265176173892	0.47516114874019344	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad1264	4	tad1264	10	10	-0.1892704475525674	-0.06925454459725952	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1267	1	tad1267	2	5	-0.1771863903943564	0.5184098482306542	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1268	3	tad1268	7	1	0.2035928089288681	-0.579768784493901	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1271	3	tad1271	4	1	-0.10245123941108752	0.49962146124381296	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad1272	1	tad1272	4	2	-0.6483871876015348	0.532964653215402	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1273	2	tad1273	4	1	0.5377732572360482	0.25127486875037525	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad128	2	tad128	15	5	-0.3477344447281077	0.2106326349760533	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1284	1	tad1284	7	1	-0.2615022534388517	0.27248835484066664	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad1291	4	tad1291	2	1	-0.06183553163146407	0.386671606345942	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad1292	3	tad1292	15	14	-0.12659174157928224	0.09539684201442904	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad1295	5	tad1295	2	5	-0.32914298593320496	-0.5899567637667038	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1332	2	tad1332	8	2	0.5064959278410578	0.425325902349883	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad1336	2	tad1336	2	1	-0.4511068777402457	0.8391740095862308	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1343	1	tad1343	3	1	-0.13114525006733196	0.18167545828687284	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1350	2	tad1350	20	7	0.3383727821924272	0.182691041603866	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1353	2	tad1353	3	2	-0.12852184194050342	0.25714532866501033	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1354	1	tad1354	5	3	-0.15226331756595057	0.127075540727208	NA	NA	NA	No TSS in affected region, R^2 = -0.655
tad1366	1	tad1366	2	3	0.11847092357781554	-0.11618386319746828	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad138	2	tad138	1	14	-0.293286783857025	0.6450723456243943	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1382	1	tad1382	14	3	-0.17508960836945642	-0.12609284247140903	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1394	1	tad1394	4	5	-0.08690258216477212	-0.21106476498239385	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad140	1	tad140	2	7	-0.161966232329461	0.23155570529563504	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1400	3	tad1400	7	1	-0.5317169002558508	0.38392825401037545	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad1401	1	tad1401	1	2	-0.4107631126801888	0.8129595490821802	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1401	6	tad1401	2	1	0.15146384670857874	-0.4095378705148999	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1402	2	tad1402	14	2	-0.1872250224793546	0.21690811329400755	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1404	6	tad1404	3	1	0.12620132430662406	-0.25641715425641487	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
